# cid2code.txt (Version 08/28/2009)
#
# The data in this table contains 14 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5079 "Adobe-GB1-5 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 30283 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 14, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "GB-H" and "GB-V" CMaps (GB
#   2312-80 character set, ISO-2022-CN encoding).
#
# o Column 3: Character codes for the "GB-EUC-H" and "GB-EUC-V" CMaps
#   (GB 2312-80 character set, EUC-CN encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "GBpc-EUC-H" and "GBpc-EUC-V"
#   CMaps (MacOS-S character set, EUC-CN encoding, proportional Latin
#   characters).
#
# o Column 5: Character codes for the "GBT-H" and "GBT-V" CMaps (GB/T
#   12345-90 character set, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "GBT-EUC-H" and "GBT-EUC-V"
#   CMaps (GB/T 12345-90 character set, EUC-CN encoding, half-width
#   Latin characters).
#
# o Column 7: Character codes for the "GBTpc-EUC-H" and "GBTpc-EUC-V"
#   CMaps (GB/T 12345-90 character set for MacOS-S, EUC-CN encoding,
#   proportional Latin characters).
#
# o Column 8: Character codes for the "GBK-EUC-H" and "GBK-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "GBKp-EUC-H" and "GBKp-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, proportional Latin characters).
#
# o Column 10: Character codes for the "GBK2K-H" and "GBK2K-V"
#   CMaps (GB 18030-2000 character set, the mixed one-, two-, and
#   four-byte encoding defined in GB 18030-2000, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniGB-UCS2-H" and "UniGB-UCS2-V"
#   CMaps (Unicode UCS-2/UTF-16 encoding, proportional Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 12: Character codes for the "UniGB-UTF8-H" and "UniGB-UTF8-V"
#   CMaps (Unicode 4.1 UTF-8 encoding, proportional Latin characters).
#
# o Column 13: Character codes for the "UniGB-UTF16-H" and
#   "UniGB-UTF16-V" CMaps (Unicode 4.1 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 14: Character codes for the "UniGB-UTF32-H" and
#   "UniGB-UTF32-V" CMaps (Unicode 4.1 UTF-32 encoding, proportional
#   Latin characters).
#
CID	GB	GB-EUC	GBpc-EUC	GBT	GBT-EUC	GBTpc-EUC	GBK-EUC	GBKp-EUC	GBK2K	UniGB-UCS2	UniGB-UTF8	UniGB-UTF16	UniGB-UTF32
58	*	*	59	*	*	59	*	59	59	0059	59	0059	00000059
59	*	*	5a	*	*	5a	*	5a	5a	005a	5a	005a	0000005a
60	*	*	5b	*	*	5b	*	5b	5b	005b	5b	005b	0000005b
61	*	*	5c	*	*	5c	*	5c	5c	005c	5c	005c	0000005c
62	*	*	5d	*	*	5d	*	5d	5d	005d	5d	005d	0000005d
63	*	*	5e	*	*	5e	*	5e	5e	005e	5e	005e	0000005e
64	*	*	5f	*	*	5f	*	5f	5f	005f	5f	005f	0000005f
65	*	*	60	*	*	60	*	60	60	0060	60	0060	00000060
66	*	*	61	*	*	61	*	61	61	0061	61	0061	00000061
67	*	*	62	*	*	62	*	62	62	0062	62	0062	00000062
68	*	*	63	*	*	63	*	63	63	0063	63	0063	00000063
69	*	*	64	*	*	64	*	64	64	0064	64	0064	00000064
70	*	*	65	*	*	65	*	65	65	0065	65	0065	00000065
71	*	*	66	*	*	66	*	66	66	0066	66	0066	00000066
72	*	*	67	*	*	67	*	67	67	0067	67	0067	00000067
73	*	*	68	*	*	68	*	68	68	0068	68	0068	00000068
74	*	*	69	*	*	69	*	69	69	0069	69	0069	00000069
75	*	*	6a	*	*	6a	*	6a	6a	006a	6a	006a	0000006a
76	*	*	6b	*	*	6b	*	6b	6b	006b	6b	006b	0000006b
77	*	*	6c	*	*	6c	*	6c	6c	006c	6c	006c	0000006c
78	*	*	6d	*	*	6d	*	6d	6d	006d	6d	006d	0000006d
79	*	*	6e	*	*	6e	*	6e	6e	006e	6e	006e	0000006e
80	*	*	6f	*	*	6f	*	6f	6f	006f	6f	006f	0000006f
81	*	*	70	*	*	70	*	70	70	0070	70	0070	00000070
82	*	*	71	*	*	71	*	71	71	0071	71	0071	00000071
83	*	*	72	*	*	72	*	72	72	0072	72	0072	00000072
84	*	*	73	*	*	73	*	73	73	0073	73	0073	00000073
85	*	*	74	*	*	74	*	74	74	0074	74	0074	00000074
86	*	*	75	*	*	75	*	75	75	0075	75	0075	00000075
87	*	*	76	*	*	76	*	76	76	0076	76	0076	00000076
88	*	*	77	*	*	77	*	77	77	0077	77	0077	00000077
89	*	*	78	*	*	78	*	78	78	0078	78	0078	00000078
90	*	*	79	*	*	79	*	79	79	0079	79	0079	00000079
91	*	*	7a	*	*	7a	*	7a	7a	007a	7a	007a	0000007a
92	*	*	7b	*	*	7b	*	7b	7b	007b	7b	007b	0000007b
93	*	*	7c	*	*	7c	*	7c	7c	007c	7c	007c	0000007c
94	*	*	7d	*	*	7d	*	7d	7d	007d	7d	007d	0000007d
95	*	*	7e	*	*	7e	*	7e	7e	007e	7e	007e	0000007e
96	2121	a1a1	a1a1	2121	a1a1	a1a1	a1a1	a1a1	a1a1	3000	e38080	3000	00003000
97	2122	a1a2	a1a2	2122	a1a2	a1a2	a1a2	a1a2	a1a2	3001	e38081	3001	00003001
98	2123	a1a3	a1a3	2123	a1a3	a1a3	a1a3	a1a3	a1a3	3002	e38082	3002	00003002
99	2124	a1a4	a1a4	2124	a1a4	a1a4	a1a4	a1a4	a1a4	30fb	c2b7,e383bb	00b7,30fb	000000b7,000030fb
100	2125	a1a5	a1a5	2125	a1a5	a1a5	a1a5	a1a5	a1a5	02c9	cb89	02c9	000002c9
101	2126	a1a6	a1a6	2126	a1a6	a1a6	a1a6	a1a6	a1a6	02c7	cb87	02c7	000002c7
102	2127	a1a7	a1a7	2127	a1a7	a1a7	a1a7	a1a7	a1a7	00a8	c2a8	00a8	000000a8
103	2128	a1a8	a1a8	2128	a1a8	a1a8	a1a8	a1a8	a1a8	3003	e38083	3003	00003003
104	2129	a1a9	a1a9	2129	a1a9	a1a9	a1a9	a1a9	a1a9	3005	e38085	3005	00003005
105	212a	a1aa	a1aa	212a	a1aa	a1aa	a1aa	a1aa	a1aa	2014	e28094	2014	00002014
106	212b	a1ab	a1ab	212b	a1ab	a1ab	a1ab	a1ab	a1ab	ff5e	efbd9e	ff5e	0000ff5e
107	212c	a1ac	a1ac	212c	a1ac	a1ac	a1ac	a1ac	a1ac	2016	e28096	2016	00002016
108	212d	a1ad	a1ad	212d	a1ad	a1ad	a1ad	a1ad	a1ad	2026,22ef	e280a6,e28baf	2026,22ef	00002026,000022ef
109	212e	a1ae	a1ae	212e	a1ae	a1ae	a1ae	a1ae	a1ae	2018	e28098	2018	00002018
110	212f	a1af	a1af	212f	a1af	a1af	a1af	a1af	a1af	2019	e28099	2019	00002019
111	2130	a1b0	a1b0	2130	a1b0	a1b0	a1b0	a1b0	a1b0	201c	e2809c	201c	0000201c
112	2131	a1b1	a1b1	2131	a1b1	a1b1	a1b1	a1b1	a1b1	201d	e2809d	201d	0000201d
113	2132	a1b2	a1b2	2132	a1b2	a1b2	a1b2	a1b2	a1b2	3014	e38094	3014	00003014
114	2133	a1b3	a1b3	2133	a1b3	a1b3	a1b3	a1b3	a1b3	3015	e38095	3015	00003015
115	2134	a1b4	a1b4	2134	a1b4	a1b4	a1b4	a1b4	a1b4	3008	e38088	3008	00003008
116	2135	a1b5	a1b5	2135	a1b5	a1b5	a1b5	a1b5	a1b5	3009	e38089	3009	00003009
117	2136	a1b6	a1b6	2136	a1b6	a1b6	a1b6	a1b6	a1b6	300a	e3808a	300a	0000300a
118	2137	a1b7	a1b7	2137	a1b7	a1b7	a1b7	a1b7	a1b7	300b	e3808b	300b	0000300b
119	2138	a1b8	a1b8	2138	a1b8	a1b8	a1b8	a1b8	a1b8	300c	e3808c	300c	0000300c
120	2139	a1b9	a1b9	2139	a1b9	a1b9	a1b9	a1b9	a1b9	300d	e3808d	300d	0000300d
121	213a	a1ba	a1ba	213a	a1ba	a1ba	a1ba	a1ba	a1ba	300e	e3808e	300e	0000300e
122	213b	a1bb	a1bb	213b	a1bb	a1bb	a1bb	a1bb	a1bb	300f	e3808f	300f	0000300f
123	213c	a1bc	a1bc	213c	a1bc	a1bc	a1bc	a1bc	a1bc	3016	e38096	3016	00003016
124	213d	a1bd	a1bd	213d	a1bd	a1bd	a1bd	a1bd	a1bd	3017	e38097	3017	00003017
125	213e	a1be	a1be	213e	a1be	a1be	a1be	a1be	a1be	3010	e38090	3010	00003010
126	213f	a1bf	a1bf	213f	a1bf	a1bf	a1bf	a1bf	a1bf	3011	e38091	3011	00003011
127	2140	a1c0	a1c0	2140	a1c0	a1c0	a1c0	a1c0	a1c0	00b1	c2b1	00b1	000000b1
128	2141	a1c1	a1c1	2141	a1c1	a1c1	a1c1	a1c1	a1c1	00d7	c397	00d7	000000d7
129	2142	a1c2	a1c2	2142	a1c2	a1c2	a1c2	a1c2	a1c2	00f7	c3b7	00f7	000000f7
130	2143	a1c3	a1c3	2143	a1c3	a1c3	a1c3	a1c3	a1c3	2236	e288b6	2236	00002236
131	2144	a1c4	a1c4	2144	a1c4	a1c4	a1c4	a1c4	a1c4	2227	e288a7	2227	00002227
132	2145	a1c5	a1c5	2145	a1c5	a1c5	a1c5	a1c5	a1c5	2228	e288a8	2228	00002228
133	2146	a1c6	a1c6	2146	a1c6	a1c6	a1c6	a1c6	a1c6	2211	e28891	2211	00002211
134	2147	a1c7	a1c7	2147	a1c7	a1c7	a1c7	a1c7	a1c7	220f	e2888f	220f	0000220f
135	2148	a1c8	a1c8	2148	a1c8	a1c8	a1c8	a1c8	a1c8	222a	e288aa	222a	0000222a
136	2149	a1c9	a1c9	2149	a1c9	a1c9	a1c9	a1c9	a1c9	2229	e288a9	2229	00002229
137	214a	a1ca	a1ca	214a	a1ca	a1ca	a1ca	a1ca	a1ca	2208	e28888	2208	00002208
138	214b	a1cb	a1cb	214b	a1cb	a1cb	a1cb	a1cb	a1cb	2237	e288b7	2237	00002237
139	214c	a1cc	a1cc	214c	a1cc	a1cc	a1cc	a1cc	a1cc	221a	e2889a	221a	0000221a
140	214d	a1cd	a1cd	214d	a1cd	a1cd	a1cd	a1cd	a1cd	22a5	e28aa5	22a5	000022a5
141	214e	a1ce	a1ce	214e	a1ce	a1ce	a1ce	a1ce	a1ce	2225	e288a5	2225	00002225
142	214f	a1cf	a1cf	214f	a1cf	a1cf	a1cf	a1cf	a1cf	2220	e288a0	2220	00002220
143	2150	a1d0	a1d0	2150	a1d0	a1d0	a1d0	a1d0	a1d0	2312	e28c92	2312	00002312
144	2151	a1d1	a1d1	2151	a1d1	a1d1	a1d1	a1d1	a1d1	2299	e28a99	2299	00002299
145	2152	a1d2	a1d2	2152	a1d2	a1d2	a1d2	a1d2	a1d2	222b	e288ab	222b	0000222b
146	2153	a1d3	a1d3	2153	a1d3	a1d3	a1d3	a1d3	a1d3	222e	e288ae	222e	0000222e
147	2154	a1d4	a1d4	2154	a1d4	a1d4	a1d4	a1d4	a1d4	2261	e289a1	2261	00002261
148	2155	a1d5	a1d5	2155	a1d5	a1d5	a1d5	a1d5	a1d5	224c	e2898c	224c	0000224c
149	2156	a1d6	a1d6	2156	a1d6	a1d6	a1d6	a1d6	a1d6	2248	e28988	2248	00002248
150	2157	a1d7	a1d7	2157	a1d7	a1d7	a1d7	a1d7	a1d7	223d	e288bd	223d	0000223d
151	2158	a1d8	a1d8	2158	a1d8	a1d8	a1d8	a1d8	a1d8	221d	e2889d	221d	0000221d
152	2159	a1d9	a1d9	2159	a1d9	a1d9	a1d9	a1d9	a1d9	2260	e289a0	2260	00002260
153	215a	a1da	a1da	215a	a1da	a1da	a1da	a1da	a1da	226e	e289ae	226e	0000226e
154	215b	a1db	a1db	215b	a1db	a1db	a1db	a1db	a1db	226f	e289af	226f	0000226f
155	215c	a1dc	a1dc	215c	a1dc	a1dc	a1dc	a1dc	a1dc	2264	e289a4	2264	00002264
156	215d	a1dd	a1dd	215d	a1dd	a1dd	a1dd	a1dd	a1dd	2265	e289a5	2265	00002265
157	215e	a1de	a1de	215e	a1de	a1de	a1de	a1de	a1de	221e	e2889e	221e	0000221e
158	215f	a1df	a1df	215f	a1df	a1df	a1df	a1df	a1df	2235	e288b5	2235	00002235
159	2160	a1e0	a1e0	2160	a1e0	a1e0	a1e0	a1e0	a1e0	2234	e288b4	2234	00002234
160	2161	a1e1	a1e1	2161	a1e1	a1e1	a1e1	a1e1	a1e1	2642	e29982	2642	00002642
161	2162	a1e2	a1e2	2162	a1e2	a1e2	a1e2	a1e2	a1e2	2640	e29980	2640	00002640
162	2163	a1e3	a1e3	2163	a1e3	a1e3	a1e3	a1e3	a1e3	00b0	c2b0	00b0	000000b0
163	2164	a1e4	a1e4	2164	a1e4	a1e4	a1e4	a1e4	a1e4	2032	e280b2	2032	00002032
164	2165	a1e5	a1e5	2165	a1e5	a1e5	a1e5	a1e5	a1e5	2033	e280b3	2033	00002033
165	2166	a1e6	a1e6	2166	a1e6	a1e6	a1e6	a1e6	a1e6	2103	e28483	2103	00002103
166	2167	a1e7	a1e7	2167	a1e7	a1e7	a1e7	a1e7	a1e7	ff04	efbc84	ff04	0000ff04
167	2168	a1e8	a1e8	2168	a1e8	a1e8	a1e8	a1e8	a1e8	00a4	c2a4	00a4	000000a4
168	2169	a1e9	a1e9	2169	a1e9	a1e9	a1e9	a1e9	a1e9	ffe0	efbfa0	ffe0	0000ffe0
169	216a	a1ea	a1ea	216a	a1ea	a1ea	a1ea	a1ea	a1ea	ffe1	efbfa1	ffe1	0000ffe1
170	216b	a1eb	a1eb	216b	a1eb	a1eb	a1eb	a1eb	a1eb	2030	e280b0	2030	00002030
171	216c	a1ec	a1ec	216c	a1ec	a1ec	a1ec	a1ec	a1ec	00a7	c2a7	00a7	000000a7
172	216d	a1ed	a1ed	216d	a1ed	a1ed	a1ed	a1ed	a1ed	2116	e28496	2116	00002116
173	216e	a1ee	a1ee	216e	a1ee	a1ee	a1ee	a1ee	a1ee	2606	e29886	2606	00002606
174	216f	a1ef	a1ef	216f	a1ef	a1ef	a1ef	a1ef	a1ef	2605	e29885	2605	00002605
175	2170	a1f0	a1f0	2170	a1f0	a1f0	a1f0	a1f0	a1f0	25cb	e2978b	25cb	000025cb
176	2171	a1f1	a1f1	2171	a1f1	a1f1	a1f1	a1f1	a1f1	25cf	e2978f	25cf	000025cf
177	2172	a1f2	a1f2	2172	a1f2	a1f2	a1f2	a1f2	a1f2	25ce	e2978e	25ce	000025ce
178	2173	a1f3	a1f3	2173	a1f3	a1f3	a1f3	a1f3	a1f3	25c7	e29787	25c7	000025c7
179	2174	a1f4	a1f4	2174	a1f4	a1f4	a1f4	a1f4	a1f4	25c6	e29786	25c6	000025c6
180	2175	a1f5	a1f5	2175	a1f5	a1f5	a1f5	a1f5	a1f5	25a1	e296a1	25a1	000025a1
181	2176	a1f6	a1f6	2176	a1f6	a1f6	a1f6	a1f6	a1f6	25a0	e296a0	25a0	000025a0
182	2177	a1f7	a1f7	2177	a1f7	a1f7	a1f7	a1f7	a1f7	25b3	e296b3	25b3	000025b3
183	2178	a1f8	a1f8	2178	a1f8	a1f8	a1f8	a1f8	a1f8	25b2	e296b2	25b2	000025b2
184	2179	a1f9	a1f9	2179	a1f9	a1f9	a1f9	a1f9	a1f9	203b	e280bb	203b	0000203b
185	217a	a1fa	a1fa	217a	a1fa	a1fa	a1fa	a1fa	a1fa	2192	e28692	2192	00002192
186	217b	a1fb	a1fb	217b	a1fb	a1fb	a1fb	a1fb	a1fb	2190	e28690	2190	00002190
187	217c	a1fc	a1fc	217c	a1fc	a1fc	a1fc	a1fc	a1fc	2191	e28691	2191	00002191
188	217d	a1fd	a1fd	217d	a1fd	a1fd	a1fd	a1fd	a1fd	2193	e28693	2193	00002193
189	217e	a1fe	a1fe	217e	a1fe	a1fe	a1fe	a1fe	a1fe	3013	e38093	3013	00003013
190	2231	a2b1	a2b1	2231	a2b1	a2b1	a2b1	a2b1	a2b1	2488	e29288	2488	00002488
191	2232	a2b2	a2b2	2232	a2b2	a2b2	a2b2	a2b2	a2b2	2489	e29289	2489	00002489
192	2233	a2b3	a2b3	2233	a2b3	a2b3	a2b3	a2b3	a2b3	248a	e2928a	248a	0000248a
193	2234	a2b4	a2b4	2234	a2b4	a2b4	a2b4	a2b4	a2b4	248b	e2928b	248b	0000248b
194	2235	a2b5	a2b5	2235	a2b5	a2b5	a2b5	a2b5	a2b5	248c	e2928c	248c	0000248c
195	2236	a2b6	a2b6	2236	a2b6	a2b6	a2b6	a2b6	a2b6	248d	e2928d	248d	0000248d
196	2237	a2b7	a2b7	2237	a2b7	a2b7	a2b7	a2b7	a2b7	248e	e2928e	248e	0000248e
197	2238	a2b8	a2b8	2238	a2b8	a2b8	a2b8	a2b8	a2b8	248f	e2928f	248f	0000248f
198	2239	a2b9	a2b9	2239	a2b9	a2b9	a2b9	a2b9	a2b9	2490	e29290	2490	00002490
199	223a	a2ba	a2ba	223a	a2ba	a2ba	a2ba	a2ba	a2ba	2491	e29291	2491	00002491
200	223b	a2bb	a2bb	223b	a2bb	a2bb	a2bb	a2bb	a2bb	2492	e29292	2492	00002492
201	223c	a2bc	a2bc	223c	a2bc	a2bc	a2bc	a2bc	a2bc	2493	e29293	2493	00002493
202	223d	a2bd	a2bd	223d	a2bd	a2bd	a2bd	a2bd	a2bd	2494	e29294	2494	00002494
203	223e	a2be	a2be	223e	a2be	a2be	a2be	a2be	a2be	2495	e29295	2495	00002495
204	223f	a2bf	a2bf	223f	a2bf	a2bf	a2bf	a2bf	a2bf	2496	e29296	2496	00002496
205	2240	a2c0	a2c0	2240	a2c0	a2c0	a2c0	a2c0	a2c0	2497	e29297	2497	00002497
206	2241	a2c1	a2c1	2241	a2c1	a2c1	a2c1	a2c1	a2c1	2498	e29298	2498	00002498
207	2242	a2c2	a2c2	2242	a2c2	a2c2	a2c2	a2c2	a2c2	2499	e29299	2499	00002499
208	2243	a2c3	a2c3	2243	a2c3	a2c3	a2c3	a2c3	a2c3	249a	e2929a	249a	0000249a
209	2244	a2c4	a2c4	2244	a2c4	a2c4	a2c4	a2c4	a2c4	249b	e2929b	249b	0000249b
210	2245	a2c5	a2c5	2245	a2c5	a2c5	a2c5	a2c5	a2c5	2474	e291b4	2474	00002474
211	2246	a2c6	a2c6	2246	a2c6	a2c6	a2c6	a2c6	a2c6	2475	e291b5	2475	00002475
212	2247	a2c7	a2c7	2247	a2c7	a2c7	a2c7	a2c7	a2c7	2476	e291b6	2476	00002476
213	2248	a2c8	a2c8	2248	a2c8	a2c8	a2c8	a2c8	a2c8	2477	e291b7	2477	00002477
214	2249	a2c9	a2c9	2249	a2c9	a2c9	a2c9	a2c9	a2c9	2478	e291b8	2478	00002478
215	224a	a2ca	a2ca	224a	a2ca	a2ca	a2ca	a2ca	a2ca	2479	e291b9	2479	00002479
216	224b	a2cb	a2cb	224b	a2cb	a2cb	a2cb	a2cb	a2cb	247a	e291ba	247a	0000247a
217	224c	a2cc	a2cc	224c	a2cc	a2cc	a2cc	a2cc	a2cc	247b	e291bb	247b	0000247b
218	224d	a2cd	a2cd	224d	a2cd	a2cd	a2cd	a2cd	a2cd	247c	e291bc	247c	0000247c
219	224e	a2ce	a2ce	224e	a2ce	a2ce	a2ce	a2ce	a2ce	247d	e291bd	247d	0000247d
