# cid2code.txt (Version 08/23/2009)
#
# The data in this table contains nineteen tab-delimited columns of
# information. The contents of this file supplement Technical Note 
# #5080 "Adobe-CNS1-6 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 19155 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 19, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "B5-H" and "B5-V" CMaps (Big
#   Five character set, Big Five encoding, half-width Latin
#   characters).
#
# o Column 3: Character codes for the "B5pc-H" and "B5pc-V" CMaps
#   (MacOS-T character set, Big Five encoding, proportional Latin
#   characters).
#
# o Column 4: Character codes for the "ETen-B5-H" and "ETen-B5-V"
#   CMaps (Big Five character set with ETen extensions, Big Five
#   encoding, half-width Latin characters).
#
# o Column 5: Character codes for the "ETenms-B5-H" and
#   "ETenms-B5-V" CMaps (Big Five character set with ETen extensions,
#   Big Five encoding, proportional Latin characters).
#
# o Column 6: Character codes for the "CNS1-H" and "CNS1-V" CMaps
#   (CNS 11643-1992 character set, Plane 1, ISO-2022-CN encoding).
#
# o Column 7: Character codes for the "CNS2-H" and "CNS2-V" CMaps
#   (CNS 11643-1992 character set, Plane 2, ISO-2022-CN encoding).
#
# o Column 8: Character codes for the "CNS-EUC-H" and "CNS-EUC-V"
#   CMaps (CNS 11643-1992 character set, Planes 1 and 2, EUC-TW
#   encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "UniCNS-UCS2-H" and
#   "UniCNS-UCS2-V" CMaps (Unicode UCS-2 encoding, proportional
#   Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 10: Character codes for the "UniCNS-UTF8-H" and
#   "UniCNS-UTF8-V" CMaps (Unicode 5.2 UTF-8 encoding, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniCNS-UTF16-H" and
#   "UniCNS-UTF16-V" CMaps (Unicode 5.2 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 12: Character codes for the "UniCNS-UTF32-H" and
#   "UniCNS-UTF32-V" CMaps (Unicode 5.2 UTF-32 encoding, proportional
#   Latin characters).
#
# o Column 13: Character codes for the "ETHK-B5-H" and "ETHK-B5-V"
#   CMaps (Big Five character set with the ETen and Hong Kong SCS
#   extensions, Big Five encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "HKdla-B5-H" and "HKdla-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   A with 784 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 15: Character codes for the "HKdlb-B5-H" and "HKdlb-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   B with 665 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 16: Character codes for the "HKgccs-B5-H" and "HKgccs-B5-V"
#   CMaps (Big Five character set with Hong Kong's GCCS extension, Big
#   Five encoding, proportional Latin characters).
#
# o Column 17: Character codes for the "HKm314-B5-H" and "HKm314-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 314 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 18: Character codes for the "HKm471-B5-H" and "HKm471-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 471 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "HKscs-B5-H" and "HKscs-B5-V"
#   CMaps (Big Five character set with Hong Kong's SCS extension,
#   Big Five encoding, proportional Latin characters).
#
CID	B5	B5pc	ETen-B5	ETenms-B5	CNS1	CNS2	CNS-EUC	UniCNS-UCS2	UniCNS-UTF8	UniCNS-UTF16	UniCNS-UTF32	ETHK-B5	HKdla-B5	HKdlb-B5	HKgccs-B5	HKm314-B5	HKm471-B5	HKscs-B5
49	*	50	*	50	*	*	*	0050	50	0050	00000050	50	50	50	50	50	50	50
50	*	51	*	51	*	*	*	0051	51	0051	00000051	51	51	51	51	51	51	51
51	*	52	*	52	*	*	*	0052	52	0052	00000052	52	52	52	52	52	52	52
52	*	53	*	53	*	*	*	0053	53	0053	00000053	53	53	53	53	53	53	53
53	*	54	*	54	*	*	*	0054	54	0054	00000054	54	54	54	54	54	54	54
54	*	55	*	55	*	*	*	0055	55	0055	00000055	55	55	55	55	55	55	55
55	*	56	*	56	*	*	*	0056	56	0056	00000056	56	56	56	56	56	56	56
56	*	57	*	57	*	*	*	0057	57	0057	00000057	57	57	57	57	57	57	57
57	*	58	*	58	*	*	*	0058	58	0058	00000058	58	58	58	58	58	58	58
58	*	59	*	59	*	*	*	0059	59	0059	00000059	59	59	59	59	59	59	59
59	*	5a	*	5a	*	*	*	005a	5a	005a	0000005a	5a	5a	5a	5a	5a	5a	5a
60	*	5b	*	5b	*	*	*	005b	5b	005b	0000005b	5b	5b	5b	5b	5b	5b	5b
61	*	5c,80	*	5c	*	*	*	005c	5c	005c	0000005c	5c	5c	5c	5c	5c	5c	5c
62	*	5d	*	5d	*	*	*	005d	5d	005d	0000005d	5d	5d	5d	5d	5d	5d	5d
63	*	5e	*	5e	*	*	*	005e	5e	005e	0000005e	5e	5e	5e	5e	5e	5e	5e
64	*	5f	*	5f	*	*	*	005f	5f	005f	0000005f	5f	5f	5f	5f	5f	5f	5f
65	*	60	*	60	*	*	*	0060	60	0060	00000060	60	60	60	60	60	60	60
66	*	61	*	61	*	*	*	0061	61	0061	00000061	61	61	61	61	61	61	61
67	*	62	*	62	*	*	*	0062	62	0062	00000062	62	62	62	62	62	62	62
68	*	63	*	63	*	*	*	0063	63	0063	00000063	63	63	63	63	63	63	63
69	*	64	*	64	*	*	*	0064	64	0064	00000064	64	64	64	64	64	64	64
70	*	65	*	65	*	*	*	0065	65	0065	00000065	65	65	65	65	65	65	65
71	*	66	*	66	*	*	*	0066	66	0066	00000066	66	66	66	66	66	66	66
72	*	67	*	67	*	*	*	0067	67	0067	00000067	67	67	67	67	67	67	67
73	*	68	*	68	*	*	*	0068	68	0068	00000068	68	68	68	68	68	68	68
74	*	69	*	69	*	*	*	0069	69	0069	00000069	69	69	69	69	69	69	69
75	*	6a	*	6a	*	*	*	006a	6a	006a	0000006a	6a	6a	6a	6a	6a	6a	6a
76	*	6b	*	6b	*	*	*	006b	6b	006b	0000006b	6b	6b	6b	6b	6b	6b	6b
77	*	6c	*	6c	*	*	*	006c	6c	006c	0000006c	6c	6c	6c	6c	6c	6c	6c
78	*	6d	*	6d	*	*	*	006d	6d	006d	0000006d	6d	6d	6d	6d	6d	6d	6d
79	*	6e	*	6e	*	*	*	006e	6e	006e	0000006e	6e	6e	6e	6e	6e	6e	6e
80	*	6f	*	6f	*	*	*	006f	6f	006f	0000006f	6f	6f	6f	6f	6f	6f	6f
81	*	70	*	70	*	*	*	0070	70	0070	00000070	70	70	70	70	70	70	70
82	*	71	*	71	*	*	*	0071	71	0071	00000071	71	71	71	71	71	71	71
83	*	72	*	72	*	*	*	0072	72	0072	00000072	72	72	72	72	72	72	72
84	*	73	*	73	*	*	*	0073	73	0073	00000073	73	73	73	73	73	73	73
85	*	74	*	74	*	*	*	0074	74	0074	00000074	74	74	74	74	74	74	74
86	*	75	*	75	*	*	*	0075	75	0075	00000075	75	75	75	75	75	75	75
87	*	76	*	76	*	*	*	0076	76	0076	00000076	76	76	76	76	76	76	76
88	*	77	*	77	*	*	*	0077	77	0077	00000077	77	77	77	77	77	77	77
89	*	78	*	78	*	*	*	0078	78	0078	00000078	78	78	78	78	78	78	78
90	*	79	*	79	*	*	*	0079	79	0079	00000079	79	79	79	79	79	79	79
91	*	7a	*	7a	*	*	*	007a	7a	007a	0000007a	7a	7a	7a	7a	7a	7a	7a
92	*	7b	*	7b	*	*	*	007b	7b	007b	0000007b	7b	7b	7b	7b	7b	7b	7b
93	*	7c	*	7c	*	*	*	007c	7c	007c	0000007c	7c	7c	7c	7c	7c	7c	7c
94	*	7d	*	7d	*	*	*	007d	7d	007d	0000007d	7d	7d	7d	7d	7d	7d	7d
95	*	7e	*	7e	*	*	*	007e	7e	007e	0000007e	7e	7e	7e	7e	7e	7e	7e
96	*	fd	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
97	*	fe	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
98	*	ff	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
99	a140	a140	a140	*	2121	*	8ea1a1a1,a1a1,8ea1a1a1v,a1a1v	3000	e38080	3000	00003000	a140	a140	a140	a140	a140	a140	a140
100	a141	a141	a141	*	2122	*	8ea1a1a2,a1a2,8ea1a1a2v,a1a2v	ff0c	efbc8c	ff0c	0000ff0c	a141	a141	a141	a141	a141	a141	a141
101	a142	a142	a142	*	2123	*	8ea1a1a3,a1a3,8ea1a1a3v,a1a3v	3001	e38081	3001	00003001	a142	a142	a142	a142	a142	a142	a142
102	a143	a143	a143	*	2124	*	8ea1a1a4,a1a4,8ea1a1a4v,a1a4v	3002	e38082	3002	00003002	a143	a143	a143	a143	a143	a143	a143
103	a144	a144	a144	*	2125	*	8ea1a1a5,a1a5,8ea1a1a5v,a1a5v	ff0e	efbc8e	ff0e	0000ff0e	a144	a144	a144	a144	a144	a144	a144
104	a145	a145	a145	*	2126	*	8ea1a1a6,a1a6,8ea1a1a6v,a1a6v	2022	e280a2,e280a7	2022,2027	00002022,00002027	a145	a145	a145	a145	a145	a145	a145
105	a146	a146	a146	*	2127	*	8ea1a1a7,a1a7,8ea1a1a7v,a1a7v	ff1b	efbc9b	ff1b	0000ff1b	a146	a146	a146	a146	a146	a146	a146
106	a147	a147	a147	*	2128	*	8ea1a1a8,a1a8,8ea1a1a8v,a1a8v	ff1a	efbc9a	ff1a	0000ff1a	a147	a147	a147	a147	a147	a147	a147
107	a148	a148	a148	*	2129	*	8ea1a1a9,a1a9,8ea1a1a9v,a1a9v	ff1f	efbc9f	ff1f	0000ff1f	a148	a148	a148	a148	a148	a148	a148
108	a149	a149	a149	*	212a	*	8ea1a1aa,a1aa,8ea1a1aav,a1aav	ff01	efbc81	ff01	0000ff01	a149	a149	a149	a149	a149	a149	a149
109	a14a	a14a	a14a	a14cv	212b	*	8ea1a1ab,a1ab,8ea1a1abv,a1abv	fe30,2025v	efb8b0,e280a5v	fe30,2025v	0000fe30,00002025v	a14a	a14a	a14a	a14a	a14a	a14a	a14a
110	a14b	a14b	a14b	*	212c	*	8ea1a1ac,a1ac	2026	e280a6,e28baf	2026,22ef	00002026,000022ef	a14b	a14b	a14b	a14b	a14b	a14b	a14b
111	a14c	a14c	a14c	*	212d	*	8ea1a1ad,a1ad,8ea1a1adv,a1adv	2025	e280a5	2025	00002025	a14c	a14c	a14c	a14c	a14c	a14c	a14c
112	a14d	a14d	a14d	*	212e	*	8ea1a1ae,a1ae,8ea1a1aev,a1aev	fe50	efb990	fe50	0000fe50	a14d	a14d	a14d	a14d	a14d	a14d	a14d
113	a14e	a14e	a14e	*	212f	*	8ea1a1af,a1af,8ea1a1afv,a1afv	ff64	efbda4,efb991	ff64,fe51	0000ff64,0000fe51	a14e	a14e	a14e	a14e	a14e	a14e	a14e
114	a14f	a14f	a14f	*	2130	*	8ea1a1b0,a1b0,8ea1a1b0v,a1b0v	fe52	efb992	fe52	0000fe52	a14f	a14f	a14f	a14f	a14f	a14f	a14f
115	a150	a150	a150	*	2131	*	8ea1a1b1,a1b1,8ea1a1b1v,a1b1v	00b7	c2b7	00b7	000000b7	a150	a150	a150	a150	a150	a150	a150
116	a151	a151	a151	*	2132	*	8ea1a1b2,a1b2,8ea1a1b2v,a1b2v	fe54	efb994	fe54	0000fe54	a151	a151	a151	a151	a151	a151	a151
117	a152	a152	a152	*	2133	*	8ea1a1b3,a1b3,8ea1a1b3v,a1b3v	fe55	efb995	fe55	0000fe55	a152	a152	a152	a152	a152	a152	a152
118	a153	a153	a153	*	2134	*	8ea1a1b4,a1b4,8ea1a1b4v,a1b4v	fe56	efb996	fe56	0000fe56	a153	a153	a153	a153	a153	a153	a153
119	a154	a154	a154	*	2135	*	8ea1a1b5,a1b5,8ea1a1b5v,a1b5v	fe57	efb997	fe57	0000fe57	a154	a154	a154	a154	a154	a154	a154
120	a155	a155	a155	*	2136	*	8ea1a1b6,a1b6,8ea1a1b6v,a1b6v	ff5c,2013v	efbd9c,e28093v	ff5c,2013v	0000ff5c,00002013v	a155	a155	a155	a155	a155	a155	a155
121	a156	a156	a156	*	2137	*	8ea1a1b7,a1b7,8ea1a1b7v,a1b7v	2013	e28093	2013	00002013	a156	a156	a156	a156	a156	a156	a156
122	a157	a157	a157	a158v	2138	*	8ea1a1b8,a1b8,8ea1a1b8v,a1b8v	fe31,2014v	efb8b1,e28094v	fe31,2014v	0000fe31,00002014v	a157	a157	a157	a157	a157	a157	a157
123	a158	a158	a158	*	2139	*	8ea1a1b9,a1b9,8ea1a1b9v,a1b9v	2014	e28094	2014	00002014	a158	a158	a158	a158	a158	a158	a158
124	*	*	*	*	213a,213bv	*	8ea1a1ba,a1ba,8ea1a1bav,8ea1a1bbv,a1bav,a1bbv	*	*	*	*	*	*	*	*	*	*	*
125	*	*	*	*	213b	*	8ea1a1bb,a1bb	*	*	*	*	*	*	*	*	*	*	*
126	*	*	*	*	213c,213dv	*	8ea1a1bc,a1bc,8ea1a1bcv,8ea1a1bdv,a1bcv,a1bdv	*	*	*	*	*	*	*	*	*	*	*
127	*	*	*	*	213d	*	8ea1a1bd,a1bd	*	*	*	*	*	*	*	*	*	*	*
128	a15d	a15d	a15d	*	213e	*	8ea1a1be,a1be	ff08	efbc88	ff08	0000ff08	a15d	a15d	a15d	a15d	a15d	a15d	a15d
129	a15e	a15e	a15e	*	213f	*	8ea1a1bf,a1bf	ff09	efbc89	ff09	0000ff09	a15e	a15e	a15e	a15e	a15e	a15e	a15e
130	a15f,a15dv	a15f,a15dv	a15f,a15dv	a15dv,a17dv	2140,213ev	*	8ea1a1c0,a1c0,8ea1a1bev,8ea1a1c0v,a1bev,a1c0v	fe35,ff08v	efb8b5,efbc88v	fe35,ff08v	0000fe35,0000ff08v	a15f,a15dv	a15f,a15dv	a15f,a15dv	a15f,a15dv	a15f,a15dv	a15f,a15dv	a15f,a15dv
131	a160,a15ev	a160,a15ev	a160,a15ev	a15ev,a17ev	2141,213fv	*	8ea1a1c1,a1c1,8ea1a1bfv,8ea1a1c1v,a1bfv,a1c1v	fe36,ff09v	efb8b6,efbc89v	fe36,ff09v	0000fe36,0000ff09v	a160,a15ev	a160,a15ev	a160,a15ev	a160,a15ev	a160,a15ev	a160,a15ev	a160,a15ev
132	a161	a161	a161	*	2142	*	8ea1a1c2,a1c2	ff5b	efbd9b	ff5b	0000ff5b	a161	a161	a161	a161	a161	a161	a161
133	a162	a162	a162	*	2143	*	8ea1a1c3,a1c3	ff5d	efbd9d	ff5d	0000ff5d	a162	a162	a162	a162	a162	a162	a162
134	a163,a161v	a163,a161v	a163,a161v	a161v,a1a1v	2144,2142v	*	8ea1a1c4,a1c4,8ea1a1c2v,8ea1a1c4v,a1c2v,a1c4v	fe37,ff5bv	efb8b7,efbd9bv	fe37,ff5bv	0000fe37,0000ff5bv	a163,a161v	a163,a161v	a163,a161v	a163,a161v	a163,a161v	a163,a161v	a163,a161v
135	a164,a162v	a164,a162v	a164,a162v	a162v,a1a2v	2145,2143v	*	8ea1a1c5,a1c5,8ea1a1c3v,8ea1a1c5v,a1c3v,a1c5v	fe38,ff5dv	efb8b8,efbd9dv	fe38,ff5dv	0000fe38,0000ff5dv	a164,a162v	a164,a162v	a164,a162v	a164,a162v	a164,a162v	a164,a162v	a164,a162v
136	a165	a165	a165	*	2146	*	8ea1a1c6,a1c6	3014	e38094	3014	00003014	a165	a165	a165	a165	a165	a165	a165
137	a166	a166	a166	*	2147	*	8ea1a1c7,a1c7	3015	e38095	3015	00003015	a166	a166	a166	a166	a166	a166	a166
138	a167,a165v	a167,a165v	a167,a165v	a165v,a1a3v	2148,2146v	*	8ea1a1c8,a1c8,8ea1a1c6v,8ea1a1c8v,a1c6v,a1c8v	fe39,3014v	efb8b9,e38094v	fe39,3014v	0000fe39,00003014v	a167,a165v	a167,a165v	a167,a165v	a167,a165v	a167,a165v	a167,a165v	a167,a165v
139	a168,a166v	a168,a166v	a168,a166v	a166v,a1a4v	2149,2147v	*	8ea1a1c9,a1c9,8ea1a1c7v,8ea1a1c9v,a1c7v,a1c9v	fe3a,3015v	efb8ba,e38095v	fe3a,3015v	0000fe3a,00003015v	a168,a166v	a168,a166v	a168,a166v	a168,a166v	a168,a166v	a168,a166v	a168,a166v
140	a169	a169	a169	*	214a	*	8ea1a1ca,a1ca	3010	e38090	3010	00003010	a169	a169	a169	a169	a169	a169	a169
141	a16a	a16a	a16a	*	214b	*	8ea1a1cb,a1cb	3011	e38091	3011	00003011	a16a	a16a	a16a	a16a	a16a	a16a	a16a
142	a16b,a169v	a16b,a169v	a16b,a169v	a169v	214c,214av	*	8ea1a1cc,a1cc,8ea1a1cav,8ea1a1ccv,a1cav,a1ccv	fe3b,3010v	efb8bb,e38090v	fe3b,3010v	0000fe3b,00003010v	a16b,a169v	a16b,a169v	a16b,a169v	a16b,a169v	a16b,a169v	a16b,a169v	a16b,a169v
143	a16c,a16av	a16c,a16av	a16c,a16av	a16av	214d,214bv	*	8ea1a1cd,a1cd,8ea1a1cbv,8ea1a1cdv,a1cbv,a1cdv	fe3c,3011v	efb8bc,e38091v	fe3c,3011v	0000fe3c,00003011v	a16c,a16av	a16c,a16av	a16c,a16av	a16c,a16av	a16c,a16av	a16c,a16av	a16c,a16av
144	a16d	a16d	a16d	*	214e	*	8ea1a1ce,a1ce	300a	e3808a	300a	0000300a	a16d	a16d	a16d	a16d	a16d	a16d	a16d
145	a16e	a16e	a16e	*	214f	*	8ea1a1cf,a1cf	300b	e3808b	300b	0000300b	a16e	a16e	a16e	a16e	a16e	a16e	a16e
